date,Paris_weather,Paris_min,Paris_max,Paris_avg,tweetCount,replyCount,retweetCount,likeCount,quoteCount,reactions,replyAvg,retweetAvg,likeAvg,quoteAvg,reactionsAvg,contest
2020-05-25,3,13,23,18.0,8,531,667,1502,46,2746,66.4,83.4,187.8,5.8,343.2,0
2020-05-26,3,15,24,19.5,12,620,587,2192,70,3469,51.7,48.9,182.7,5.8,289.1,1
2020-05-27,3,16,25,20.5,10,376,369,522,24,1291,37.6,36.9,52.2,2.4,129.1,1
2020-05-28,3,14,23,18.5,9,404,390,565,32,1391,44.9,43.3,62.8,3.6,154.6,1
2020-05-29,3,15,22,18.5,14,815,831,1909,59,3614,58.2,59.4,136.4,4.2,258.1,1
2020-05-30,3,16,24,20.0,4,11,34,192,2,239,2.8,8.5,48.0,0.5,59.8,0
2020-05-31,3,15,22,18.5,5,27,26,234,3,290,5.4,5.2,46.8,0.6,58.0,0
2020-06-01,3,14,26,20.0,5,16,24,212,0,252,3.2,4.8,42.4,0.0,50.4,0
2020-06-02,3,18,27,22.5,8,39,17,309,1,366,4.9,2.1,38.6,0.1,45.8,1
2020-06-03,2,18,24,21.0,4,12,4,134,2,152,3.0,1.0,33.5,0.5,38.0,0
2020-06-04,1,13,16,14.5,11,66,51,610,7,734,6.0,4.6,55.5,0.6,66.7,0
2020-06-05,2,11,16,13.5,6,22,18,294,9,343,3.7,3.0,49.0,1.5,57.2,0
2020-06-06,3,13,17,15.0,5,9,21,202,0,232,1.8,4.2,40.4,0.0,46.4,0
2020-06-07,2,11,20,15.5,5,18,72,723,0,813,3.6,14.4,144.6,0.0,162.6,0
2020-06-08,2,12,20,16.0,8,63,114,1307,8,1492,7.9,14.2,163.4,1.0,186.5,0
2020-06-09,2,10,18,14.0,5,10,13,196,2,221,2.0,2.6,39.2,0.4,44.2,0
2020-06-10,3,12,22,17.0,6,9,9,188,2,208,1.5,1.5,31.3,0.3,34.7,0
2020-06-11,3,14,22,18.0,6,27,29,529,0,585,4.5,4.8,88.2,0.0,97.5,0
