,Date,Paris,Versailles,Melun,Fontainebleau,Cergy
91,03/03/2018,4°C/10°C,2°C/11°C,4°C/11°C,1°C/11°C,4°C/10°C
92,04/03/2018,5°C/7°C,4°C/7°C,6°C/8°C,4°C/8°C,5°C/7°C
93,05/03/2018,6°C/12°C,3°C/11°C,6°C/12°C,3°C/12°C,6°C/11°C
94,06/03/2018,6°C/11°C,3°C/11°C,7°C/11°C,3°C/11°C,6°C/11°C
95,07/03/2018,6°C/10°C,5°C/9°C,6°C/10°C,5°C/10°C,6°C/10°C
96,08/03/2018,7°C/9°C,4°C/9°C,7°C/10°C,3°C/10°C,7°C/8°C
97,09/03/2018,7°C/14°C,5°C/14°C,8°C/14°C,6°C/14°C,7°C/14°C
98,10/03/2018,11°C/15°C,10°C/15°C,11°C/16°C,10°C/16°C,11°C/15°C
99,11/03/2018,13°C/17°C,10°C/16°C,13°C/17°C,10°C/17°C,12°C/17°C
100,12/03/2018,10°C/12°C,9°C/12°C,10°C/12°C,8°C/12°C,11°C/12°C
101,13/03/2018,9°C/12°C,7°C/12°C,9°C/12°C,7°C/12°C,9°C/12°C
102,14/03/2018,8°C/13°C,4°C/14°C,8°C/13°C,3°C/13°C,8°C/14°C
103,15/03/2018,9°C/13°C,8°C/13°C,8°C/13°C,7°C/13°C,9°C/13°C
104,16/03/2018,9°C/13°C,6°C/13°C,8°C/13°C,7°C/13°C,9°C/13°C
105,17/03/2018,3°C/7°C,3°C/7°C,5°C/7°C,2°C/7°C,4°C/7°C
106,18/03/2018,0°C/2°C,-0°C/3°C,0°C/2°C,-1°C/2°C,1°C/2°C
107,19/03/2018,0°C/3°C,-2°C/3°C,0°C/3°C,-3°C/3°C,0°C/3°C
108,20/03/2018,2°C/7°C,-3°C/7°C,2°C/7°C,-3°C/7°C,2°C/7°C
109,21/03/2018,4°C/8°C,-1°C/7°C,3°C/8°C,-1°C/8°C,4°C/7°C
110,22/03/2018,5°C/8°C,0°C/8°C,4°C/8°C,0°C/8°C,5°C/8°C
111,23/03/2018,5°C/6°C,1°C/7°C,1°C/6°C,1°C/6°C,5°C/8°C
112,24/03/2018,5°C/13°C,3°C/13°C,5°C/13°C,3°C/13°C,6°C/13°C
113,25/03/2018,10°C/14°C,6°C/14°C,10°C/14°C,6°C/14°C,10°C/14°C
114,26/03/2018,8°C/13°C,5°C/13°C,8°C/13°C,5°C/13°C,8°C/13°C
115,27/03/2018,7°C/11°C,6°C/12°C,6°C/11°C,6°C/11°C,7°C/11°C
