date,Paris_weather,Paris_min,Paris_max,Paris_avg
24/06/2019,3,26,31,28.5
25/06/2019,3,26,32,29.0
26/06/2019,3,26,33,29.5
27/06/2019,3,25,31,28.0
28/06/2019,3,24,31,27.5
29/06/2019,3,26,34,30.0
30/06/2019,3,24,29,26.5
01/07/2019,3,21,26,23.5
02/07/2019,3,20,26,23.0
03/07/2019,3,19,25,22.0
04/07/2019,3,20,28,24.0
05/07/2019,3,24,32,28.0
06/07/2019,2,26,31,28.5
07/07/2019,3,21,28,24.5
08/07/2019,3,18,23,20.5
09/07/2019,3,17,23,20.0
10/07/2019,3,21,27,24.0
11/07/2019,2,21,27,24.0
12/07/2019,2,20,25,22.5
13/07/2019,3,21,25,23.0
14/07/2019,2,16,23,19.5
15/07/2019,3,17,24,20.5
16/07/2019,3,21,27,24.0
17/07/2019,3,24,29,26.5
18/07/2019,2,21,24,22.5
19/07/2019,3,21,27,24.0
20/07/2019,2,23,26,24.5
21/07/2019,3,22,29,25.5
22/07/2019,3,27,35,31.0
23/07/2019,3,29,36,32.5
24/07/2019,3,31,38,34.5
25/07/2019,2,32,40,36.0
26/07/2019,2,25,30,27.5
27/07/2019,2,20,24,22.0
28/07/2019,2,19,23,21.0
29/07/2019,3,22,29,25.5
30/07/2019,3,21,24,22.5
31/07/2019,3,19,22,20.5
01/08/2019,3,22,28,25.0
02/08/2019,3,22,28,25.0
03/08/2019,3,20,26,23.0
04/08/2019,3,23,32,27.5
05/08/2019,3,21,28,24.5
06/08/2019,2,17,22,19.5
07/08/2019,2,21,26,23.5
08/08/2019,3,23,29,26.0
09/08/2019,2,23,27,25.0
10/08/2019,2,20,25,22.5
11/08/2019,3,19,22,20.5
12/08/2019,3,19,23,21.0
13/08/2019,3,17,21,19.0
14/08/2019,2,19,24,21.5
15/08/2019,2,19,23,21.0
16/08/2019,3,20,25,22.5
17/08/2019,2,18,20,19.0
18/08/2019,2,21,23,22.0
19/08/2019,3,19,23,21.0
20/08/2019,3,19,23,21.0
21/08/2019,3,19,26,22.5
22/08/2019,3,21,28,24.5
23/08/2019,3,21,28,24.5
24/08/2019,3,23,31,27.0
25/08/2019,3,28,37,32.5
26/08/2019,3,28,33,30.5
27/08/2019,3,26,34,30.0
28/08/2019,3,24,28,26.0
29/08/2019,3,21,26,23.5
30/08/2019,3,23,28,25.5
31/08/2019,3,23,30,26.5
01/09/2019,2,19,23,21.0
02/09/2019,3,18,24,21.0
03/09/2019,3,19,25,22.0
04/09/2019,3,19,23,21.0
05/09/2019,3,16,19,17.5
06/09/2019,3,16,22,19.0
07/09/2019,2,16,20,18.0
08/09/2019,2,14,19,16.5
09/09/2019,2,13,19,16.0
10/09/2019,3,16,23,19.5
11/09/2019,3,17,23,20.0
12/09/2019,2,18,24,21.0
13/09/2019,3,19,25,22.0
14/09/2019,3,19,28,23.5
15/09/2019,3,23,32,27.5
16/09/2019,3,0,22,11.0
17/09/2019,3,18,23,20.5
18/09/2019,3,14,19,16.5
19/09/2019,3,14,20,17.0
20/09/2019,3,15,23,19.0
21/09/2019,3,18,28,23.0
22/09/2019,3,18,22,20.0
23/09/2019,3,16,22,19.0
24/09/2019,1,16,20,18.0
25/09/2019,1,15,18,16.5
26/09/2019,2,18,21,19.5
27/09/2019,2,17,21,19.0
28/09/2019,3,15,19,17.0
29/09/2019,2,16,19,17.5
30/09/2019,2,15,20,17.5
01/10/2019,2,19,21,20.0
02/10/2019,2,14,16,15.0
03/10/2019,3,11,16,13.5
04/10/2019,2,15,17,16.0
05/10/2019,2,14,16,15.0
06/10/2019,1,15,18,16.5
07/10/2019,2,14,17,15.5
08/10/2019,1,13,15,14.0
09/10/2019,2,13,16,14.5
10/10/2019,2,13,18,15.5
11/10/2019,2,14,20,17.0
12/10/2019,2,15,20,17.5
13/10/2019,3,19,24,21.5
14/10/2019,3,18,22,20.0
15/10/2019,3,15,17,16.0
16/10/2019,2,14,15,14.5
17/10/2019,2,14,16,15.0
18/10/2019,2,14,17,15.5
19/10/2019,1,14,16,15.0
20/10/2019,1,12,14,13.0
21/10/2019,2,12,15,13.5
22/10/2019,3,12,15,13.5
23/10/2019,3,13,17,15.0
24/10/2019,3,15,18,16.5
25/10/2019,2,13,17,15.0
26/10/2019,2,14,20,17.0
27/10/2019,1,7,16,11.5
28/10/2019,3,8,11,9.5
