date,replyCount,retweetCount,likeCount,quoteCount
28/10/2019,14,16,149,2
28/10/2020,16,26,289,1
28/11/2018,37,83,474,4
28/11/2019,73,94,1140,8
28/11/2020,65,409,1143,63
28/12/2018,79,55,648,12
28/12/2019,8,17,121,0
28/12/2020,81,693,1316,13
29/01/2019,493,1431,4668,29
29/01/2020,109,327,1792,11
29/02/2020,4,19,140,0
29/03/2019,72,106,742,6
29/03/2020,34,28,294,4
29/04/2019,154,198,1508,21
29/04/2020,1007,948,1366,39
29/05/2019,5382,6275,2710,446
29/05/2020,815,830,1909,59
29/06/2019,1,0,15,0
29/06/2020,12,8,145,1
29/07/2019,14,7,96,0
29/07/2020,10,67,174,2
29/08/2019,579,335,1461,85
29/08/2020,8,31,209,0
29/09/2018,14,43,277,3
29/09/2019,6,7,117,1
29/09/2020,384,3007,1854,40
29/10/2018,73,139,854,11
29/10/2019,55,211,1145,19
29/10/2020,171,68,926,19
29/11/2018,1062,109,1076,67
29/11/2019,47,68,522,4
29/11/2020,1321,2321,3656,494
29/12/2018,19,10,222,2
29/12/2019,18,18,234,1
29/12/2020,1439,3008,3755,94
30/01/2019,776,1318,5576,48
30/01/2020,96,187,1376,10
30/03/2019,10,50,382,6
30/03/2020,60,61,653,3
30/04/2019,19,17,162,1
30/04/2020,13,44,348,0
30/05/2019,143,108,784,8
30/05/2020,11,34,192,2
30/06/2019,52,564,3288,19
30/06/2020,8,8,159,0
30/07/2019,17,14,108,2
30/07/2020,10,9,137,0
30/08/2019,36,40,233,3
30/08/2020,15,41,425,1
30/09/2018,25,79,438,4
30/09/2019,42,37,229,2
30/09/2020,26,44,340,3
30/10/2018,73,145,884,20
30/10/2019,696,11617,6592,81
30/10/2020,39,207,1488,14
30/11/2018,44,118,741,10
30/11/2019,16,20,184,2
30/11/2020,100,659,1398,77
30/12/2018,23,54,552,5
30/12/2019,49,105,981,16
30/12/2020,522,1825,2661,32
31/01/2019,191,877,2790,11
31/01/2020,34,72,581,2
31/03/2019,62,175,1294,12
31/03/2020,30,32,277,5
31/05/2019,59,93,705,5
31/05/2020,27,26,234,3
31/07/2019,213,91,589,10
31/07/2020,14,76,236,2
31/08/2019,7,5,50,1
31/08/2020,5,21,154,2
31/10/2018,40,43,353,4
31/10/2019,1465,898,2697,43
31/10/2020,27,51,529,1
31/12/2018,42,116,855,6
31/12/2019,387,88,918,29
31/12/2020,192,817,2501,10
